ammesso,adj
amministrare,v
amministrativamente,adv
amministrativo,adj
amministratore,n
amministrazione,n
amminopurina,n
amminozucchero,n
ammiraglio,n
ammirare,adj
ammirare,v
ammiratore,n
ammirazione,n
ammissione,n
ammoniaca,n
ammoniaco,n
ammonio,n
ammontare,v
ammorbidire,v
a,n
å,n
ā,n
anas,unknown
and,conj
and,n
andriano,n
antifiamma,adj
a,particle
appaiato,v
apposto,v
approvato,v
à,prep
a,prep art
archive,n
archtop,adj
argent,n
armee,n
armée,n
army,n
arquitectura,n
arrestato,v
art,n
asimmetrico,adj
assegnato,v
assembler,n
assembly,unknown
associato,v
assommando,v
attribuito,v
avuto,v
avvenuto,v
aythya,unknown
band,n
blow,v
b,n
bohème,n
boogaloo,n
boogie,n
boogie-woogie,n
book,n
boom,n
booster,n
boss,n
bottom,n
bowling,n
box,n
break,n
burocratico-amministrativo,adj
cantato,v
caratterizzato,v
castaneus,adj
celebrante,v
checking,n
cheque,n
chez,prep
chiamato,v
chilogrammo,n
chip,n
cinto,v
circondar,v
circondate,v
citato,v
ci,v
cladogramma,n
classificato,v
c,n
codificato,v
coinvolto,v
colonizzato,v
comedy,n
comes,n
commando,n
commedia,n
commemorare,v
commemorativo,adj
commemorazione,n
commentare,v
commentario,n
commentatore,n
commento,n
commercializzare,v
commercializzato,adj
commercializzazione,n
commercialmente,adv
commerciante,n
commerciare,v
commessa,n
commesso,n
commissariamento,n
commissariare,v
commissariato,n
commissario,n
commissionare,v
commissione,n
committee,n
common,adj
commovente,adj
communication,n
communiste,adj
commutazione,n
composto,v
compreso,v
condannato,v
condotta,v
confuso,v
conosciuto,v
con,prep art
conservato,v
considerato,v
consistente,v
contenuto,v
contribute,v
correlato,v
corso,v
co-scrivere,v
costituente,v
cpu,unknown
creato,v
crittogramma,n
da l',prep art
da,prep art
datato,v
dato,v
dedicato,v
de il,prep art
delimitato,v
della,prep art
dell'orologio,n
de,n
denominato,v
de,particle
de,prep
descritto,v
destinato,v
detto,v
de,unknown
diagramma,n
dicere,v
diedero,v
differenziato,v
di il,art
d il,prep art
di l',prep art
dimenticato,v
di,prep art
distrutto,v
diventato,v
diviso,v
d,n
dovuto,v
d,prep
dramma,n
drammatico,adj
dt,other
duecento ottanta,n
duemiladieci,n
duemilaesette,n
duemilasei,n
d,unknown
du,prep
ed,conj
eletto,v
eliminato,v
elle,n
emme,n
empire,n
encryption,n
encyclopedia,n
end,n
endurance,n
enfant,n
enterprise,n
environs,n
e,particle
escluso,v
esercitato,v
esiliato,v
esplorato,v
essendoci,v
essere,adj
esserne,v
è,v
facente,v
farvi,v
fatto,v
femminello,n
femmineo,adj
femminilità,n
femminismo,n
fiammiferaia,n
fiammifero,n
fiammingo,adj
film ambientato,n
film diretto,n
film drammatico,n
film girato,n
fissato,v
fly,v
formato,v
for,prep
fotogramma,n
frac,n
frac,other
frammentare,v
frammentario,adj
frammentazione,n
frammento,n
gamma,n
garantito,v
gesammten,adj
giunto,v
g,n
gomma,n
grammatica,n
grammo,n
guadagnato,v
guidato,v
hammaburgensis,adj
i,art
iii,n
ii,n
ii,unknown
il,pron
immacolata,adj
immagazzinare,v
immaginare,v
immaginario,adj
immaginario,n
immaginazione,n
immanare,adj
immanente,adj
immanenza,n
immanifesto,adj
immedesimarsi,v
immediatamente,adv
immediato,adj
immenso,adj
immergere,adj
immergere,v
immersione,n
immettere,v
immigrare,v
immigrazione,n
imminente,adj
immissario,n
immissione,n
immobile,adj
immobile,n
immobiliare,adj
immorale,adj
immortale,adj
immunità,n
immutabile,adj
immutato,adj
impackate,v
impadronirissi,v
impegnato,v
impiegato,v
i,n
in,adv
incluso,v
indicante,v
indicato,v
infiammarsi,v
infty,other
ingrrandirsi,v
in l',prep art
innescate,v
innesca,v
in,prep art
inserito,v
insomma,adv
interpretato,v
intitolate,v
intitolato,v
int,other
intrappolate,v
io,n
i,pron
isolate,v
isolato,v
ispirato,v
istiga,v
it,pron
i,unknown
j,n
jpg,n
k,n
la,adj
la,art
la,n
l',art
l,art
le,art
left,adj
left,n
left,unknown
legato,v
lemma,n
liberarli,v
ln,other
longa,adj
mammario,adj
mammella,n
mammifero,n
melodramma,n
melodrammatico,adj
messo,v
microprogrammazione,n
militum,unknown
milligrammo,n
mi,n
mio,pron
mm,n
m,n
monogramma,n
multiprogrammare,v
mummificazione,n
nanogrammo,n
nascitur,v
nemmeno,adv
nemmeno,conj
new,adj
n,n
nostro,pron
noto,v
occorrente,v
of,adv
of,n
of,prep
of,unknown
ologramma,n
on,prep
originato,v
passato,v
performance,n
period,n
personal,adj
plovmand,n
plugin,n
plug,n
p,n
pogo,n
pokémon,n
poker,n
polios,n
polytechnique,adj
popolato,v
possessive,particle
posto,v
potere si,v
preceduto,v
preso,v
prima,adj
procurarselo,v
prodotto,v
producere,v
programmabile,adj
programmabilità,n
programmare,v
programmato,adj
programmatore,n
programmazione,n
programme,n
pubblicato,v
px,n
racchiuso,v
raggiunto,v
ratificato,v
recitato,v
regolato,v
release,n
ricevuto,v
riconosciuto,v
ridenom inare,v
ridotto,v
rifiutato,v
right,n
rimane,v
rimasto,v
rimpadronirissi,v
ripristinato,v
riprogrammazione,n
risalito,v
riscontrato,v
riscoperto,v
ritardato,v
ritrovato,v
riunito,v
r,n
sammarinese,adj
san,adj
san,n
santa,n
sant,n
sarà,v
sbarcato,v
scelto,v
scimmia,n
sciolto,v
sconfitto,v
scoperto,v
scritto,v
serve,v
sia,v
simmetria,n
simmetrico,adj
si,n
sito,v
s,n
sommare,v
sommatoria,n
sommergere,v
sommergibile,n
sommerso,adj
sommità,n
sommossa,n
sommozzatore,n
soprammobile,n
sostenuto,v
sostituito,v
sottoposto,v
spazzato,v
speak,v
spinto,v
sqrt,other
stante,v
stato,v
stemma,n
stemmario,n
stratagemma,n
suddiviso,v
su l',prep art
summa,n
sum,other
s,unknown
suo,pron
su,prep art
sviluppato,v
telegramma,n
terminato,v
text,n
the,art
the,unknown
thriller,n
thumb,n
thumb,unknown
till,prep
timeaxis,n
times,n
tip-tap,n
t,n
to,adv
top,n
to,prep
tornato,v
toucher,v
traere,v
trattar,v
ucciso,v
una,art
+,unknown
→,unknown
unknown,unknown
un,n
uno,art
upright,adj
upright,adv
upright,unknown
usato,v
utilizzato,v
van,prep
veda,v
vederei,v
vedére,v
vedereм,v
vederre,v
vedi,v
vedre,v
vedute,v
veduto,v
vedutum,v
vendemmia,n
venendo,v
venirsi,v
venuto,v
verare,v
vessato,v
vi,n
visto,v
visual,adj
visual,n
vi,unknown
v,n
volley,n
voluto,v
von,particle
von,prep
x,n
y,n
z,n
